texte,vrai_label,label_predit,est_correct,probabilite_positive
خارينا,1,0,False,0.14738582074642181
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.013829543255269527
😅😆,1,0,False,0.4906136691570282
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,0,False,0.00547511363402009
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,0,False,0.4220065474510193
مهم حاول خير فخونشي صح,1,0,False,0.021626457571983337
hasbiya allah wa ni3ma el wakil fik,1,0,False,0.0029286236967891455
خلونا الدراما والعاطفه تاكدنا بلي ربراب غالط ندافعوا علاخاطر قبايلي كقبايلي نقول بلي خان ثقتنا السنين ومايسحقش ندافعوا ثبت ادانته يعني سقوط رءوس الفساد وماتخافوش ماراهمش رايحين يسلكو السعيد وجماعته ودالته يكن ربك نسيا نهدرو بالعقل,1,0,False,0.08778112381696701
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,0,False,0.40722936391830444
koulchy mabrouke hagda abla taharake rpake rpake ya abla,1,0,False,0.04319256544113159
كلاو مسحو المرميطه من بعد حصلوها فالكاسكيطه واعرين اصحاب الفرشيطه ولا نزيد نرسملك,1,0,False,0.10548800975084305
نوميديا بزول,1,0,False,0.001977253705263138
اح لفريش,1,0,False,0.49185189604759216
الشعب قال له نريد رب الدزاير في الحراش,1,0,False,0.00442251842468977
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,0,False,0.001981235109269619
السبب تع هادو قاع ربراب هو لي زاد في السردين او السيارات هو العصابه تع قاع المنتوجات كشيريست,1,0,False,0.026279278099536896
ballon et camarade ma3rftche kifech taktabhoume ou djite tayer fa siyad machi mlihe ounsorria en plus matalh9ouche koulech,1,0,False,0.22598204016685486
اسوء سياسه لجلب التفاعل سياسه الحملات الانتخابيه الجزاءريه,1,0,False,0.008535376749932766
فريت اوملات بالبيض اه يا طبي 🙄😅,1,0,False,0.2542724609375
روحنا لتصنيع السيارات ليس خدمه للمواطن بل مخططات العصابه للسرقه كما العاده,1,0,False,0.10185344517230988
نكفر بيهم,1,0,False,0.0028696274384856224
عفن السلام,1,0,False,0.03110060840845108
شاوي افتخر لي مايعرفش اصلو يروح يشعل روحو,1,0,False,0.008812962099909782
li ysiporti tajnat ou csc hdouk mhalbin 🤣,1,0,False,0.018866170197725296
wach d5l crb dok ana wa9il ani ntnaq l3l,1,0,False,0.19553768634796143
صحا عليك امير دبلوم ان شاء الله يكون فال خير عليك مزيد من التعريه للنظام بدون رحمه,1,0,False,0.008495351299643517
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,0,False,0.025926047936081886
جيقا ويقلك ستوكي ياناس العلم راهم لحقو جيقا وحنايا مازلنا روطار,1,0,False,0.001997736981138587
مبروك علينا يا امير هكدا العصابه تحكملك الختان,1,0,False,0.0384727343916893
في سبيل التذكير فان ربراب قام باستوراد الحديد المشع من اكرانيا حيث بعد حادثه تشرنوبيل النوويه قامت اكرانيا بدفع اموال من اجل التخلص من الحديد المشع ربراب قام باحضاره بيعه للجزائريين هذا ما يفسر الارتفاع الكبير في عدد المصابين بالامراض السرطانيه كذلك الكثير من الامراض التي لم يستطع الاطباء تشخيصها نسال المولى عز جل ان يعاملك بعدله,1,0,False,0.050669245421886444
عندو حكطي تاع راك تعرف بلا منقولها,1,0,False,0.044829096645116806
مام انت كيمي هوا علاش غاضك,1,0,False,0.046563487499952316
baynd mamidou hada mdiroch 3lih,1,0,False,0.012412791140377522
اعلا واش تحوسو ربراب شغل اله الجزاءر ملزمش يتحاسب قلتو بوفوار اساسان ام يتحاسبو غع,1,0,False,0.017971273511648178
كان رح ينكحنا بلكورونا,1,0,False,0.027672959491610527
علبانا بيها وانت على واش تحوس,1,0,False,0.07606873661279678
رجال يكسبو ومنقش يحسبو دزير عندها وميخصهاش,1,0,False,0.05588623136281967
